,0
438,"symmetry!! stunning portrait of harley quinn!! by victo ngai, kilian eng vibrant colors, dynamic lighting, digital art, winning award masterpiece, fantastically beautiful, illustration, aestheticly inspired by beksinski and dan mumford, upscale with simon stalenhag work, trending on artstation, art by artgerm and greg rutkowski, 8"
439,"a full head photoshot, detailed photograph of a dreaming samurai warrior in a distance japanese temple mountain landscape, photorealism ultradetailed digital art, irina french, heraldo ortega, mandy jurgens, golden ratio, art canvas, award winning, masterpiece trending on artstation 8 k 1 5 0 mpx, hasselblade"
440,"portrait of a woman by greg rutkowski, blue skin, pretty, she wears a band on her forehead, evil energy, wearing black robes, twisted smile, star wars expanded universe, he is about 3 0 years old, highly detailed portrait, digital painting, artstation, concept art, smooth, sharp foccus"
441,"glamorous and sexy japanese schoolgirl, beautiful, pearlescent skin, natural beauty, seductive eyes and face, elegant girl, lacivious pose, natural beauty, very detailed face, seductive lady, sexy push up bras, pale and coloured kimono, photorealism, summer vibrancy, cinematic, a portrait by artgerm, rossdraws, Norman Rockwell, magali villeneuve,"
442,"close up shot of a spheric sci fi probe, sharp focus, concept art, very detailed, very realistic, trending on artstation, in the style of star citizen, star wars, overwatch, beautiful, sci fi, cinematic shot, great composition, dynamic light, atmosphere, wojtek kapusta, jonathan ching, edgaras cernikas, scott"
443,"highly detailed portrait of a sewerpunk lady student, blue eyes, tartan hoody, hat, white hair by atey ghailan, by greg rutkowski, by greg tocchini, by james gilleard, by joe fenton, by kaethe butcher, gradient yellow, black, brown and cyan color scheme, grunge aesthetic!!! ( ( graffiti"
444,"Oil painting - She Eats of the Strangling Fruit and Her gossamer polyp blossoms bring iridescent fungal flowers whose spores black the foolish stars by Lucian Freud, Abstract brush strokes, Masterpiece, Edward Hopper and James Gilleard, Zdzislaw Beksinski, Mark Ryden, Wolfgang Lettl highly detailed, hints of"
445,"hyperrealistic detailed image of a geisha in a art installation room, hd smooth interior by yayoi kusama, part by kei mieno, part by ross tran, dark art by james jean, ultra realistic, highly detailed, life like face, detailed body, 8 k, 3 d render by roger"
446,"shiny aluminum rocket ship in cosmic space by tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, larry elmore, fleet, star wars, naboo 1, v wing, b - 2 bomber, jet engines, concorde, world war 2, masterpiece, trending on artstation, cinematic composition, beautiful lighting, sharp, details, hd,"
447,"Oil painting - She Eats of the Strangling Fruit and Her gossamer polyp blossoms bring iridescent fungal flowers whose spores black the foolish stars by Lucian Freud, Abstract brush strokes, Masterpiece, Edward Hopper and James Gilleard, Zdzislaw Beksinski, Mark Ryden, Wolfgang Lettl highly detailed, hints of"
448,"award winning emotional heartbreaking full body photo of adolf hitler puking blood, male, india third eye tika, draped in shiny golden oil, red lipstick, tease, flowers and gold, vivid colors, weird and disturbing, symmetrical face, neon lights, studio lighting, wide shot art by sally mann &"
449,Colour Caravaggio style Photography of Highly detailed beautiful Woman with 1000 years perfect face and wearing detailed Ukrainian folk costume designed by Taras Shevchenko also wearing highly detailed futuristic VR headset designed by Josan Gonzalez. Many details In style of Josan Gonzalez and Mike Winkelmann and
